Cut Frame,Location,Nodes1,Nodes2,lambda_p,wOverlHalf,l,w
0,v(0.50a),"[122, 123, 1147]","[577, 836]",1,0.003149629,1.435137239,0.0090403
1,v(0.50a),"[122, 123, 1147]","[577, 836]",1.000159979,0.003252927,1.435016192,0.009336004
2,v(0.50a),"[122, 123, 1147]","[577, 836]",1.000319958,0.003421088,1.434909851,0.009817904
3,v(0.50a),"[122, 123, 1147]","[577, 836]",1.000560045,0.003770385,1.434750232,0.010819122
4,v(0.50a),"[122, 123, 1147]","[577, 836]",1.000920057,0.004452597,1.434512407,0.01277461
5,v(0.50a),"[122, 123, 1147]","[577, 836]",1.001459956,0.005688333,1.434159353,0.016315952
6,v(0.50a),"[122, 123, 1147]","[577, 836]",1.002269983,0.007768446,1.433636726,0.02227426
7,v(0.50a),"[122, 123, 1147]","[577, 836]",1.003484964,0.011078545,1.432868857,0.031748203
8,v(0.50a),"[122, 123, 1147]","[577, 836]",1.005307555,0.01616498,1.431755534,0.046288599
9,v(0.50a),"[122, 123, 1147]","[577, 836]",1.008041263,0.023821281,1.430163492,0.068136652
10,v(0.50a),"[122, 123, 1147]","[577, 836]",1.012141824,0.035187239,1.42794693,0.100491019
11,v(0.50a),"[122, 123, 1147]","[577, 836]",1.018292785,0.051851318,1.425006047,0.147776883
12,v(0.50a),"[122, 1147]","[577, 836]",1.027519226,0.075731882,1.421403628,0.215291142
13,v(0.50a),"[122, 1147]","[577, 836]",1.041358829,0.109741349,1.417628392,0.311144905
14,v(0.50a),"[122, 1147]","[577, 836]",1.057358861,0.146320236,1.415257243,0.414161546
15,v(0.50a),"[122, 1147]","[577, 836]",1.073358774,0.180185437,1.414493099,0.509742114
16,v(0.50a),"[121, 122, 1146]","[577, 836, 837]",1.089358807,0.212632135,1.414870103,0.601693701
17,v(0.50a),"[121, 1146]","[577, 578, 837]",1.105358839,0.240368861,1.41601421,0.680731446
18,v(0.50a),"[121, 1146]","[578, 837]",1.121358871,0.267604953,1.417683139,0.75875806
19,v(0.50a),"[120, 121, 1145, 1146]","[578, 837]",1.137358785,0.292940757,1.419724666,0.831790435
20,v(0.50a),"[120, 121, 1145, 1146]","[578, 837]",1.141358852,0.298976796,1.420262157,0.849250857
21,v(0.50a),"[120, 121, 1145]","[578, 837]",1.147358775,0.308469837,1.421106243,0.876736822
22,v(0.50a),"[120, 121, 1145]","[578, 837]",1.14960885,0.311731692,1.421428781,0.886208798
23,v(0.50a),"[120, 1145]","[578, 837]",1.152983785,0.316176808,1.421921838,0.899157415
24,v(0.50a),"[120, 1145]","[578, 837]",1.158046365,0.323281748,1.422678963,0.919852284
25,v(0.50a),"[120, 1145]","[578, 837]",1.159999967,0.325983668,1.422972231,0.927731414