strain,lambda_p,wOverlHalf,wOverlHalf_L,v_L/a_L,(-1.3225*(e_l)^2+1.0966*(e_l)+0.0003)+e_t*(51.243*(e_l)^3-3.5804*(e_l)^3-2.2536*(e_l)+2.451)
0,1,0.0003,0.0003,v_T/a_T,(-1.3225*(e_t)^2+1.0966*(e_t)+0.0003)+e_l*(51.243*(e_t)^3-3.5804*(e_t)^3-2.2536*(e_t)+2.451)
0.000159979,1.000159979,0.00086745,0.00086745,,
0.000319958,1.000319958,0.001434716,0.001434716,,
0.000560045,1.000560045,0.002285695,0.002285695,,
0.000920057,1.000920057,0.003560968,0.003560968,,
0.001459956,1.001459956,0.005471718,0.005471718,,
0.002269983,1.002269983,0.008334567,0.008334567,,
0.003484964,1.003484964,0.012619835,0.012619835,,
0.005307555,1.005307555,0.019028381,0.019028381,,
0.008041263,1.008041263,0.028596145,0.028596145,,
0.012141824,1.012141824,0.042848167,0.042848167,,
0.018292785,1.018292785,0.064004164,0.064004164,,
0.027519226,1.027519226,0.095246333,0.095246333,,
0.041358829,1.041358829,0.141046933,0.141046933,,
0.057358861,1.057358861,0.192536704,0.192536704,,
0.073358774,1.073358774,0.24268311,0.24268311,,
0.089358807,1.089358807,0.291793132,0.291793132,,
0.105358839,1.105358839,0.340247595,0.340247595,,
0.121358871,1.121358871,0.388502669,0.388502669,,
0.137358785,1.13,0.414664825,0.414664825,,
0.153358817,1.14,0.445182504,0.445182504,,