Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[39, 376]","[64, 274]",1,0.029622306,0.432221082,0.02560677
1,v(0.50a),"[39, 376]","[64, 274]",1.000159979,0.029609051,0.432159266,0.025591652
2,v(0.50a),"[39, 376]","[64, 274]",1.000319958,0.029615042,0.432124135,0.025594749
3,v(0.50a),"[39, 376]","[64, 274]",1.000560045,0.029646436,0.432076918,0.025619081
4,v(0.50a),"[39, 376]","[64, 274]",1.000920057,0.029727537,0.432010178,0.025685197
5,v(0.50a),"[39, 376]","[64, 274]",1.001459956,0.029917153,0.43191154,0.025843127
6,v(0.50a),"[39, 376]","[64, 274]",1.002269983,0.030360551,0.431763179,0.026217136
7,v(0.50a),"[39, 376]","[64, 274]",1.003484964,0.031357048,0.431546951,0.027064077
8,v(0.50a),"[39, 376]","[64, 274]",1.005307555,0.033505992,0.431233987,0.028897845
9,v(0.50a),"[39, 376]","[64, 274]",1.008041263,0.037867146,0.430786947,0.032625345
10,v(0.50a),"[39, 376]","[64, 274]",1.012141824,0.046047743,0.43016617,0.039616362
11,v(0.50a),"[39, 376]","[64, 274]",1.018292785,0.060072255,0.429341769,0.051583057
12,v(0.50a),"[39, 376]","[64, 274]",1.027519226,0.082249505,0.428326512,0.070459288
13,v(0.50a),"[39, 376]","[64, 274]",1.041358829,0.115134621,0.427246582,0.098381746
14,v(0.50a),"[39, 376]","[64, 65, 274]",1.057358861,0.147776319,0.426558167,0.126070392
15,v(0.50a),"[39, 376]","[64, 65, 274]",1.073358774,0.181719929,0.426348982,0.154952213
16,v(0.50a),"[39, 376]","[64, 65, 274]",1.089358807,0.213175581,0.426510159,0.181843102
17,v(0.50a),"[39, 376]","[65, 274, 275]",1.105358839,0.244075729,0.426947125,0.208414862
18,v(0.50a),"[39, 376]","[65, 274, 275]",1.121358871,0.271265441,0.42758181,0.231976336
19,v(0.50a),"[39, 376]","[65, 274, 275]",1.137358785,0.296577787,0.428358554,0.254083264
20,v(0.50a),"[39, 376]","[65, 275]",1.153358817,0.319236396,0.429236581,0.274055878
21,v(0.50a),"[39, 376]","[65, 275]",1.159999967,0.328536415,0.429619364,0.282291211